timestamp,step,turn,status,board,action

14:20:40.147207,19,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, -1, -1, -1], [-1, -1, 1, 1, -1, 0, 1, 0], [-1, 1, 1, 1, -1, 0, 0, 0], [-1, 1, 1, -1, 1, 1, 0, 0], [-1, 0, 0, 0, 0, 1, 0, 0]]","[1, 6]"

14:20:44.390232,20,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, -1, -1, -1], [-1, -1, 1, 1, -1, 0, 1, 0], [-1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 0, 1, 0, 0]]","[7, 1]"

14:20:44.392943,20,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, -1, -1, -1], [-1, -1, 1, 1, -1, 0, 1, 0], [-1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 0, 1, 0, 0]]",

14:20:44.399699,20,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, -1, 1, 1], [-1, -1, 1, 1, -1, 0, 1, 1], [-1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 1, 0, 0], [-1, -1, 0, 0, 0, 1, 0, 0]]","[7, 4]"

14:20:46.551115,21,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, -1, 1, 1], [-1, -1, 1, 1, -1, 0, 1, 1], [-1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, -1, 1, 0, 0], [-1, -1, 0, 0, -1, 1, 0, 0]]","[7, 4]"
